idna_subject,checker_type,destination,tested_at
10a053584f01fcaeab1.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 04:04:32.849695
110380d053f716c4.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 04:07:25.239126
12dc71b7cb820f2a.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 04:10:14.704028
165a7c15380874ef3.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 04:12:53.416997
1f58098dd54.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 04:15:32.633065
1sen-pit-fan.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 04:18:15.299275
20afcc1f257.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 04:20:52.709501
24smile.org,AVAILABILITY,easylist_adservers.txt,2021-01-29 04:26:07.506258
2778255fe56.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 04:28:44.496364
2hanwriten.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 04:31:56.670981
304c40d20085e.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 04:48:51.521601
344dea1d6d130a7e8e.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 04:51:36.436343
3878896c72ed218.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 04:54:20.012855
3b0b68c876376f7311.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 04:57:02.958044
4141d006e4f4dd17ab9.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 04:59:49.217088
41ef19c0f0794e058c.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 05:02:30.605564
46186911.vtt,AVAILABILITY,easylist_adservers.txt,2021-01-29 05:02:32.824608
4e34b4865905c4.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 05:05:50.413933
4eacccd99990beed317.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 05:08:31.422833
4fb0a3bf4a3d38.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 05:11:13.256911
5edb123fa3329.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 05:14:38.551029
640f94e47dc41c.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 05:17:24.286058
6bd9a2ea1a1801e55.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 05:20:10.139930
6c37f8a12dede103bf7.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 05:22:51.544190
6d25c5a1bb9e821f3b7.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 05:25:32.911520
7089e5b41f87.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 05:28:19.041170
729dcbaa57e80c1e.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 05:31:12.878803
736f35dde67b7da2976.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 06:43:45.135362
74da0fffc981.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 06:46:28.458554
750industries.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 06:49:35.296521
754daf9cd396259.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 06:52:16.915278
757a51ce62f.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 06:54:58.511137
771b92b0ca0963e.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 06:57:40.516705
7d6260236b547b31f.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 07:01:05.321060
7dp6g2rqzn.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 07:03:47.203353
80055404.vtt,AVAILABILITY,easylist_adservers.txt,2021-01-29 07:04:39.977368
95a44ebca8b1abc20.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 07:08:06.441507
99e5da34520d.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 07:10:48.961541
9b13c1c151f9664a73.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 07:13:30.414556
a02d0adbca0.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 07:16:15.128790
a2ba3784cb354807d.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 07:19:35.756347
a46b257bc29b.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 07:22:19.064711
a5e04df959f1af34.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 07:25:14.056856
a69ee4fa50dc3.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 07:27:55.542012
a8c37822e110e3.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 08:45:47.462347
a911a1ed6c0.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 08:48:28.557852
a940db0846408b2.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 08:51:12.434039
aaitudxr.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 08:53:55.095727
aamejtdlmk.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 08:57:15.959717
aamhrnptzw.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 09:00:29.043252
aaqpsddtjnsmug.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 09:03:29.685497
aarqdivjxstu.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 09:06:11.671471
aaxtuhit.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 09:08:53.593318
aayeljzpuu.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 09:11:35.266478
aazwugtom.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 09:14:16.936574
abjusouft.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 09:17:03.019145
abodealley.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 09:19:45.705755
abonmgghehh.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 09:22:58.837749
aboybvnm.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 09:26:09.578590
abxlmhllf.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 09:28:53.955411
abzoyyjybskvna.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 10:49:46.731945
acacexjsh.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 10:52:24.669126
acbsuicxkoyef.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 10:55:01.123349
acidityfoamy.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 10:57:41.646626
acirtpkh.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 11:00:39.172412
acrmzrucy.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 11:03:35.241857
acticgreasonsc.info,AVAILABILITY,easylist_adservers.txt,2021-01-29 11:06:12.780261
actinopterygien.website,AVAILABILITY,easylist_adservers.txt,2021-01-29 11:08:49.854837
adearsened.info,AVAILABILITY,easylist_adservers.txt,2021-01-29 11:11:33.785915
adenabler.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 11:14:10.962471
adezrvjcbyu.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 11:16:48.197348
adfrastingathles.info,AVAILABILITY,easylist_adservers.txt,2021-01-29 11:19:26.018815
adlipacbrakmjp.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 11:22:04.572660
adnetxchange.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 11:24:41.726033
adnsvuxmpaycdf.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 11:27:18.356918
adqvauwe.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 11:29:58.525208
adultoafiliados.com.br,AVAILABILITY,easylist_adservers.txt,2021-01-29 11:38:46.558961
adv777.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 12:51:24.845427
advsense.info,AVAILABILITY,easylist_adservers.txt,2021-01-29 12:54:09.680831
advserver.xyz,AVAILABILITY,easylist_adservers.txt,2021-01-29 12:56:51.668843
adziondin.club,AVAILABILITY,easylist_adservers.txt,2021-01-29 12:59:36.442244
ae3482c74b1a99f.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 13:02:18.851975
aeeefzfuk.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 13:05:00.374987
aegzjowko.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 13:07:44.266796
aehdgzigy.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 13:10:25.848228
afaeqxnbylkxp.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 13:13:25.538658
afcxojqr.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 13:16:07.086729
afqveoju.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 13:19:15.071525
afrfndbumyyt.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 13:21:56.266829
afxvaqbbd.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 13:24:37.883773
afzcqqdhkn.com,AVAILABILITY,easylist_adservers.txt,2021-01-29 13:27:37.639041
aggravedgaree.info,AVAILABILITY,easylist_adservers.txt,2021-01-29 13:30:20.500765
